gu_code,monthly_rent,deposit,build_year,year,month,day,dong,apt_name,area,floor,jibun,contract_type,contract_term,prev_deposit,prev_monthly_rent
11650,0,"125,000",2025,2025,5,18,잠원동,메이플자이,59.5368,12,60-3,신규,25.08~27.08,,
11650,0,"355,000",2016,2025,5,14,반포동,아크로리버파크,129.92,23,2-12,갱신,25.08~27.08,"250,000",
11650,340,"70,000",2025,2025,5,24,잠원동,메이플자이,84.8456,18,60-3,신규,25.08~27.08,,
11650,180,"90,000",2025,2025,5,31,잠원동,메이플자이,59.5368,33,60-3,신규,25.08~27.08,,
11650,155,"150,000",2022,2025,5,23,잠원동,반포르엘,97.4743,11,163,갱신,25.06~27.06,"150,000",120
11650,150,"120,000",2025,2025,5,31,잠원동,메이플자이,84.2537,28,60-3,신규,25.08~27.08,,
11650,0,"170,000",2021,2025,5,20,서초동,서초그랑자이,84.51,22,1757,신규,25.08~27.08,,
11650,400,"20,000",2025,2025,5,20,잠원동,메이플자이,59.1662,6,60-3,신규,25.08~27.08,,
11650,0,"85,000",1998,2025,5,15,방배동,삼호한숲,84.87,10,1030-1,신규,25.05~26.06,,
11650,0,"155,000",2010,2025,5,21,반포동,반포리체,84.967,3,30-26,신규,25.08~27.07,,
11650,50,"6,700",2021,2025,5,22,서초동,서초꽃마을주얼리,16.63,3,1502-12,신규,25.07~27.07,,
11650,0,"63,000",2014,2025,5,31,신원동,서초포레스타3단지,59.96,10,568,갱신,25.07~27.07,"60,000",
11650,0,"150,000",2010,2025,5,15,반포동,반포리체,84.967,33,30-26,신규,25.08~27.07,,
11650,595,"25,000",2021,2025,5,23,서초동,서초그랑자이,84.51,17,1757,신규,25.08~27.07,,
11650,240,"30,000",1987,2025,5,28,잠원동,강변,84.53,3,53-15,신규,25.07~27.07,,
11650,0,"245,000",2021,2025,5,29,반포동,디에이치반포라클라스,115.943,11,1343,신규,25.07~27.07,,
11650,0,"120,000",1980,2025,5,30,잠원동,신반포7,140.04,2,65-32,신규,25.07~26.07,,
11650,0,"160,000",2010,2025,5,13,반포동,반포리체,84.972,7,30-26,신규,25.07~27.07,,
11650,0,"130,000",2017,2025,5,19,서초동,서초푸르지오써밋,74.93,7,1311-10,신규,25.07~27.07,,
11650,0,"290,000",2023,2025,5,23,반포동,래미안원베일리,116.95,4,1,신규,25.07~27.08,,
11650,290,"70,000",2006,2025,5,15,서초동,롯데캐슬클래식,120.18,13,1312-3,신규,25.07~27.07,,
11650,280,"60,000",2025,2025,5,12,잠원동,메이플자이,59.1662,29,60-3,신규,25.07~27.07,,
11650,0,"165,000",2021,2025,5,31,서초동,서초그랑자이,84.51,13,1757,갱신,25.08~26.08,"150,000",
11650,390,"10,000",2009,2025,5,22,서초동,래미안서초스위트,84.9571,8,1301-6,갱신,25.07~27.07,"10,000",370
